Indicator,IndicatorCode,IndicatorRaw,Measure,Source,Group
"4.04 Business impact of tuberculosis, 1-7 (rank)",EOSQ169_R,"Business impact of tuberculosis, 1-7 (best)",Rank,,
"4.06 Business impact of HIV/AIDS, 1-7",EOSQ170,"Business impact of HIV/AIDS, 1-7 (best)",Value,,
"4.06 Business impact of HIV/AIDS, 1-7 (rank)",EOSQ170_R,"Business impact of HIV/AIDS, 1-7 (best)",Rank,,
"8.02 Affordability of financial services, 1-7",EOSQ331,"Affordability of financial services, 1-7 (best)",Value,,
"8.02 Affordability of financial services, 1-7 (rank)",EOSQ331_R,"Affordability of financial services, 1-7 (best)",Rank,,
"8.01 Availability of financial services, 1-7",EOSQ332,"Availability of financial services, 1-7 (best)",Value,,
"8.01 Availability of financial services, 1-7 (rank)",EOSQ332_R,"Availability of financial services, 1-7 (best)",Rank,,
"2.04 Quality of port infrastructure, 1-7",EOSQ353,"Quality of port infrastructure, 1-7 (best)",Value,,
"2.04 Quality of port infrastructure, 1-7 (rank)",EOSQ353_R,"Quality of port infrastructure, 1-7 (best)",Rank,,
"7.05 Effect of taxation on incentives to work, 1-7",EOSQ397,"Effect of taxation on incentives to work, 1-7 (best)",Value,,
"7.05 Effect of taxation on incentives to work, 1-7 (rank)",EOSQ397_R,"Effect of taxation on incentives to work, 1-7 (best)",Rank,,
"6.04 Effect of taxation on incentives to invest, 1-7",EOSQ398,"Effect of taxation on incentives to invest, 1-7 (best)",Value,,
"6.04 Effect of taxation on incentives to invest, 1-7 (rank)",EOSQ398_R,"Effect of taxation on incentives to invest, 1-7 (best)",Rank,,
"7.08 Country capacity to retain talent, 1-7",EOSQ399,"Country capacity to retain talent, 1-7 (best)",Value,,
"7.08 Country capacity to retain talent, 1-7 (rank)",EOSQ399_R,"Country capacity to retain talent, 1-7 (best)",Rank,,
"7.09 Country capacity to attract talent, 1-7",EOSQ400,"Country capacity to attract talent, 1-7 (best)",Value,,
"7.09 Country capacity to attract talent, 1-7 (rank)",EOSQ400_R,"Country capacity to attract talent, 1-7 (best)",Rank,,
"2.03 Quality of railroad infrastructure, 1-7",EOSQrailroad,"Quality of railroad infrastructure, 1-7 (best)",Value,,
"2.03 Quality of railroad infrastructure, 1-7 (rank)",EOSQrailroad_R,"Quality of railroad infrastructure, 1-7 (best)",Rank,,
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Pump price for diesel fuel (US$ per liter),,,
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Pump price for gasoline (US$ per liter),,,
GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum),ER.BDV.TOTL.XQ,GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum),,,
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)",,,
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,,
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",,,
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",,,
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,"Annual freshwater withdrawals, total (billion cubic meters)",,,
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,
"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,"Renewable internal freshwater resources, total (billion cubic meters)",,,
Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Terrestrial protected areas (% of total land area),,,
Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,Marine protected areas (% of territorial waters),,,
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),,,
10.04 Exports as a percentage of GDP,EXPGDP,Exports as a percentage of GDP*,Value,,
10.04 Exports as a percentage of GDP (rank),EXPGDP_R,Exports as a percentage of GDP*,Rank,,
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Bank nonperforming loans to total gross loans (%),,,
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,"Automated teller machines (ATMs) (per 100,000 adults)",,,
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,Bank capital to assets ratio (%),,,
"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,"Commercial bank branches (per 100,000 adults)",,,
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,"Borrowers from commercial banks (per 1,000 adults)",,,
"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,"Depositors with commercial banks (per 1,000 adults)",,,
"Point-of-sale terminals (per 100,000 adults)",FB.POS.TOTL.P5,"Point-of-sale terminals (per 100,000 adults)",,,
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Domestic credit to private sector by banks (% of GDP),,,
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Bank liquid reserves to bank assets ratio (%),,,
"7.10 Women in labor force, ratio to men",FEMLABOR,"Women in labor force, ratio to men*",Value,,
"7.10 Women in labor force, ratio to men (rank)",FEMLABOR_R,"Women in labor force, ratio to men*",Rank,,
"10.02 Foreign market size index, 1-7",FGNMKTIDX,"Foreign market size index, 1–7 (best)*",Value,,
"10.02 Foreign market size index, 1-7 (rank)",FGNMKTIDX_R,"Foreign market size index, 1–7 (best)*",Rank,,
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)",,,
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Total reserves (% of total external debt),,,
Total reserves in months of imports,FI.RES.TOTL.MO,Total reserves in months of imports,,,
Total reserves minus gold (current US$),FI.RES.XGLD.CD,Total reserves minus gold (current US$),,,
2.09 Fixed telephone lines/100 pop.,FIXEDTELPC,Fixed telephone lines/100 pop.*,Value,,
2.09 Fixed telephone lines/100 pop. (rank),FIXEDTELPC_R,Fixed telephone lines/100 pop.*,Rank,,
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,Claims on central government (annual growth as % of broad money),,,
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,Claims on other sectors of the domestic economy (annual growth as % of broad money),,,
Net domestic credit (current LCU),FM.AST.DOMS.CN,Net domestic credit (current LCU),,,
Net foreign assets (current LCU),FM.AST.NFRG.CN,Net foreign assets (current LCU),,,
Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,Claims on private sector (annual growth as % of broad money),,,
Broad money (current LCU),FM.LBL.BMNY.CN,Broad money (current LCU),,,
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,Broad money (% of GDP),,,
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,Broad money to total reserves ratio,,,
Broad money growth (annual %),FM.LBL.BMNY.ZG,Broad money growth (annual %),,,
Money (current LCU),FM.LBL.MONY.CN,Money (current LCU),,,
Money and quasi money (M2) (current LCU),FM.LBL.MQMY.CN,Money and quasi money (M2) (current LCU),,,
Money and quasi money (M2) as % of GDP,FM.LBL.MQMY.GD.ZS,Money and quasi money (M2) as % of GDP,,,
Money and quasi money (M2) to total reserves ratio,FM.LBL.MQMY.IR.ZS,Money and quasi money (M2) to total reserves ratio,,,
Money and quasi money growth (annual %),FM.LBL.MQMY.ZG,Money and quasi money growth (annual %),,,
Quasi money (current LCU),FM.LBL.QMNY.CN,Quasi money (current LCU),,,
Consumer price index (2010 = 100),FP.CPI.TOTL,Consumer price index (2010 = 100),,,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,,
Wholesale price index (2010 = 100),FP.WPI.TOTL,Wholesale price index (2010 = 100),,,
Deposit interest rate (%),FR.INR.DPST,Deposit interest rate (%),,,
Lending interest rate (%),FR.INR.LEND,Lending interest rate (%),,,
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,"Interest rate spread (lending rate minus deposit rate, %)",,,
Real interest rate (%),FR.INR.RINR,Real interest rate (%),,,
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,"Risk premium on lending (lending rate minus treasury bill rate, %)",,,
"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,"Claims on central government, etc. (% GDP)",,,
Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,Claims on other sectors of the domestic economy (% of GDP),,,
Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic credit provided by financial sector (% of GDP),,,
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),,,
Liquid liabilities (M3) as % of GDP,FS.LBL.LIQU.GD.ZS,Liquid liabilities (M3) as % of GDP,,,
Quasi-liquid liabilities (% of GDP),FS.LBL.QLIQ.GD.ZS,Quasi-liquid liabilities (% of GDP),,,
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),,,
Cash surplus/deficit (current LCU),GC.BAL.CASH.CN,Cash surplus/deficit (current LCU),,,
Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,Cash surplus/deficit (% of GDP),,,
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"Central government debt, total (current LCU)",,,
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,,
"Net incurrence of liabilities, domestic (current LCU)",GC.FIN.DOMS.CN,"Net incurrence of liabilities, domestic (current LCU)",,,
"Net incurrence of liabilities, domestic (% of GDP)",GC.FIN.DOMS.GD.ZS,"Net incurrence of liabilities, domestic (% of GDP)",,,
"Net incurrence of liabilities, foreign (current LCU)",GC.FIN.FRGN.CN,"Net incurrence of liabilities, foreign (current LCU)",,,
"Net incurrence of liabilities, foreign (% of GDP)",GC.FIN.FRGN.GD.ZS,"Net incurrence of liabilities, foreign (% of GDP)",,,
Grants and other revenue (current LCU),GC.REV.GOTR.CN,Grants and other revenue (current LCU),,,
Grants and other revenue (% of revenue),GC.REV.GOTR.ZS,Grants and other revenue (% of revenue),,,
Social contributions (current LCU),GC.REV.SOCL.CN,Social contributions (current LCU),,,
Social contributions (% of revenue),GC.REV.SOCL.ZS,Social contributions (% of revenue),,,
"Revenue, excluding grants (current LCU)",GC.REV.XGRT.CN,"Revenue, excluding grants (current LCU)",,,
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)",,,
Taxes on exports (current LCU),GC.TAX.EXPT.CN,Taxes on exports (current LCU),,,
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Taxes on exports (% of tax revenue),,,
Taxes on goods and services (current LCU),GC.TAX.GSRV.CN,Taxes on goods and services (current LCU),,,
Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,Taxes on goods and services (% of revenue),,,
Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,Taxes on goods and services (% value added of industry and services),,,
Customs and other import duties (current LCU),GC.TAX.IMPT.CN,Customs and other import duties (current LCU),,,
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Customs and other import duties (% of tax revenue),,,
Taxes on international trade (current LCU),GC.TAX.INTT.CN,Taxes on international trade (current LCU),,,
Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,Taxes on international trade (% of revenue),,,
Other taxes (current LCU),GC.TAX.OTHR.CN,Other taxes (current LCU),,,
Other taxes (% of revenue),GC.TAX.OTHR.RV.ZS,Other taxes (% of revenue),,,
Tax revenue (current LCU),GC.TAX.TOTL.CN,Tax revenue (current LCU),,,
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Tax revenue (% of GDP),,,
"Taxes on income, profits and capital gains (current LCU)",GC.TAX.YPKG.CN,"Taxes on income, profits and capital gains (current LCU)",,,
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,"Taxes on income, profits and capital gains (% of revenue)",,,
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,"Taxes on income, profits and capital gains (% of total taxes)",,,
Compensation of employees (current LCU),GC.XPN.COMP.CN,Compensation of employees (current LCU),,,
Compensation of employees (% of expense),GC.XPN.COMP.ZS,Compensation of employees (% of expense),,,
Goods and services expense (current LCU),GC.XPN.GSRV.CN,Goods and services expense (current LCU),,,
Goods and services expense (% of expense),GC.XPN.GSRV.ZS,Goods and services expense (% of expense),,,
Interest payments (current LCU),GC.XPN.INTP.CN,Interest payments (current LCU),,,
Interest payments (% of revenue),GC.XPN.INTP.RV.ZS,Interest payments (% of revenue),,,
Interest payments (% of expense),GC.XPN.INTP.ZS,Interest payments (% of expense),,,
Other expense (current LCU),GC.XPN.OTHR.CN,Other expense (current LCU),,,
Other expense (% of expense),GC.XPN.OTHR.ZS,Other expense (% of expense),,,
Expense (current LCU),GC.XPN.TOTL.CN,Expense (current LCU),,,
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Expense (% of GDP),,,
Subsidies and other transfers (current LCU),GC.XPN.TRFT.CN,Subsidies and other transfers (current LCU),,,
Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,Subsidies and other transfers (% of expense),,,
Global Competitiveness Index,GCI,Global Competitiveness Index,Value,,
Basic requirements,GCI.A,Basic requirements,Value,,
1st pillar: Institutions,GCI.A.01,1st pillar: Institutions,Value,,
A. Public institutions,GCI.A.01.01,A. Public institutions,Value,,
1. Property rights,GCI.A.01.01.01,1. Property rights,Value,,
1. Property rights (rank),GCI.A.01.01.01_R,1. Property rights,Rank,,
2. Ethics and corruption,GCI.A.01.01.02,2. Ethics and corruption,Value,,
2. Ethics and corruption (rank),GCI.A.01.01.02_R,2. Ethics and corruption,Rank,,
3. Undue influence,GCI.A.01.01.03,3. Undue influence,Value,,
3. Undue influence (rank),GCI.A.01.01.03_R,3. Undue influence,Rank,,
4. Government efficiency,GCI.A.01.01.04,4. Government efficiency,Value,,
4. Government efficiency (rank),GCI.A.01.01.04_R,4. Government efficiency,Rank,,
5. Security,GCI.A.01.01.05,5. Security,Value,,
5. Security (rank),GCI.A.01.01.05_R,5. Security,Rank,,
A. Public institutions (rank),GCI.A.01.01_R,A. Public institutions,Rank,,
B. Private institutions,GCI.A.01.02,B. Private institutions,Value,,
1. Corporate ethics,GCI.A.01.02.01,1. Corporate ethics,Value,,
1. Corporate ethics (rank),GCI.A.01.02.01_R,1. Corporate ethics,Rank,,
2. Accountability,GCI.A.01.02.02,2. Accountability,Value,,
2. Accountability (rank),GCI.A.01.02.02_R,2. Accountability,Rank,,
B. Private institutions (rank),GCI.A.01.02_R,B. Private institutions,Rank,,
1st pillar: Institutions (rank),GCI.A.01_R,1st pillar: Institutions,Rank,,
2nd pillar: Infrastructure,GCI.A.02,2nd pillar: Infrastructure,Value,,
A. Transport infrastructure,GCI.A.02.01,A. Transport infrastructure,Value,,
A. Transport infrastructure (rank),GCI.A.02.01_R,A. Transport infrastructure,Rank,,
B. Electricity and telephony infrastructure,GCI.A.02.02,B. Electricity and telephony infrastructure,Value,,
B. Electricity and telephony infrastructure (rank),GCI.A.02.02_R,B. Electricity and telephony infrastructure,Rank,,
2nd pillar: Infrastructure (rank),GCI.A.02_R,2nd pillar: Infrastructure,Rank,,
3rd pillar: Macroeconomic environment,GCI.A.03,3rd pillar: Macroeconomic environment,Value,,
3rd pillar: Macroeconomic environment (rank),GCI.A.03_R,3rd pillar: Macroeconomic environment,Rank,,
4th pillar: Health and primary education,GCI.A.04,4th pillar: Health and primary education,Value,,
A. Health,GCI.A.04.01,A. Health,Value,,
A. Health (rank),GCI.A.04.01_R,A. Health,Rank,,
B. Primary education,GCI.A.04.02,B. Primary education,Value,,
